protein,PAM50 mRNA
NP_005548,0.4652740591017879
NP_056330,0.5924704738719628
NP_000168,0.20387417996034496
NP_001121138,0.20047057659309417
NP_009045,0.4025282692467167
NP_006697,0.2897756321924337
NP_777597,0.21883203303613827
NP_056130,0.47137390578733296
NP_060548,0.26868830777852004
NP_005246,0.3067035694158371
NP_056261,0.24682318952980223
NP_008860,0.2843759074421863
NP_056390,0.2746335966074576
NP_000909,0.26293752964404316
NP_060713,0.2340976789922689
NP_055144,0.2443674813488748
NP_001004060,0.20651929237467342
NP_079031,0.23791923955964037
NP_001013865,0.226789615714428
NP_996810,0.39358485662536324
NP_996811,0.39404086195666904
NP_001156423,0.3674532520511029
NP_001092,0.22126831417669873
XP_003960357,0.3121205599722645
NP_001264012,0.2936265761391016
XP_003846703,0.31950054494272573
NP_001605,0.20554624677276484
NP_001135417,0.24349857563867636
NP_001606,0.24715451539503738
NP_001091,0.26021277473754506
NP_001077007,0.21112762144625
NP_001093241,0.289308384089388
NP_001264335,0.31351233328939154
NP_064522,0.2916327610819797
NP_997555,0.2963808593715442
NP_001005751,0.2927779801166351
NP_060702,0.30431179652472584
NP_056077,0.30617727204608847
NP_001129477,0.22802604681792835
NP_006301,0.4200967377173698
NP_003631,0.20472872008975967
NP_001092879,0.42959648040862103
NP_001136086,0.38296106785355455
NP_002636,0.3007824180855689
NP_004784,0.24942824365819116
NP_004738,0.283110491582962
NP_055699,0.45799245291961693
NP_002262,0.21831674250259192
NP_001257700,0.3529714429052615
NP_001139145,0.3569960706168819
NP_001139144,0.3592593172345724
NP_003594,0.3551957433895426
NP_001139146,0.3527794848279496
NP_055061,0.3356164788867192
NP_001419,0.43025287860167993
NP_001188412,0.43079130791526893
NP_001966,0.24367065442229086
NP_001967,0.42198737107643186
NP_003655,0.4096473177937868
NP_004635,0.2786000285814923
NP_001265440,0.2782313283745567
NP_001106207,0.3065884683644496
NP_055521,0.20771099507993032
NP_001240628,0.4511928531269096
NP_056044,0.31496197740083237
NP_039269,0.22943878515076863
NP_056018,0.24583735213244304
NP_054722,0.39840830167175145
NP_877423,0.2068855139484541
NP_001245303,0.4327888435101145
NP_067058,0.4329888525856964
NP_002005,0.5585188577082625
NP_005984,0.2586785007036785
NP_001017915,0.23926304986873345
NP_001485,0.3479962360069443
NP_005753,0.26447245765292304
NP_003160,0.2833211330728431
NP_001124297,0.27513611426189566
NP_055842,0.23019220120905556
NP_055427,0.5124594078737117
NP_056073,0.20258277510855152
NP_005057,0.27038771753714275
NP_002038,0.36045440890248354
NP_056175,0.2797387011413964
NP_003857,0.4968208704246089
NP_060530,0.23021794478544647
NP_079461,0.461623937684145
NP_002379,0.2576544270491784
NP_001257401,0.2533903353361422
NP_150241,0.27889087436215476
NP_150243,0.2616689379635409
NP_150242,0.256051428392108
NP_150247,0.26057125950592946
NP_150252,0.29955906506835034
NP_150249,0.30519550644174587
NP_000405,0.3932610020373325
NP_001186221,0.3977740592511911
NP_073739,0.39341200030537693
NP_036333,0.2745595230866572
NP_001139138,0.270431476713065
NP_000923,0.39294852489251125
NP_001136157,0.2367291859623416
NP_065805,0.37078402790971104
NP_056138,0.20689896567155966
NP_055768,0.23433639794313077
NP_036192,0.24739994474608995
NP_001265393,0.24338868097042793
NP_001265392,0.24007544962270616
NP_671492,0.3449901962275886
NP_001004065,0.3375639282285051
NP_001130034,0.34071329240081166
NP_443749,0.2759961847188589
NP_002209,0.3204836445353136
NP_001159921,0.32105943109392826
NP_006251,0.20194955827851008
NP_004719,0.27914195801947267
NP_076950,0.2194982445006542
NP_002963,0.28441500612264126
NP_001257293,0.2588338390078714
NP_002878,0.3333849865750109
NP_065801,0.32681145064981043
NP_055647,0.419560176747993
NP_003350,0.33734639612086753
NP_005145,0.23079454316939682
NP_612144,0.21334339901938104
